County,City,Name,Type
Snohomish,Everett,NISSAN LEAF,Vehicle
Snohomish,Snohomish,JEEP WRANGLER,Vehicle
Snohomish,Bothell,TESLA MODEL 3,Vehicle
Spokane,Spokane,NISSAN LEAF,Vehicle
Skagit,Concrete,NISSAN LEAF,Vehicle
Kitsap,Bremerton,KIA NIRO,Vehicle
King,Seattle,TESLA MODEL 3,Vehicle
Thurston,Lacey,MAZDA CX-90,Vehicle
Island,Freeland,TESLA MODEL 3,Vehicle
Snohomish,Marysville,FORD C-MAX,Vehicle
Snohomish,Edmonds,NISSAN LEAF,Vehicle
Snohomish,Edmonds,VOLKSWAGEN E-GOLF,Vehicle
Snohomish,Edmonds,TESLA MODEL Y,Vehicle
Snohomish,Lynnwood,NISSAN LEAF,Vehicle
King,Bothell,BMW 530E,Vehicle
Snohomish,Snohomish,FORD ESCAPE,Vehicle
Island,Oak Harbor,NISSAN LEAF,Vehicle
Thurston,Olympia,NISSAN LEAF,Vehicle
Thurston,Olympia,TESLA MODEL 3,Vehicle
Yakima,Yakima,TESLA MODEL X,Vehicle
Snohomish,Monroe,SMART FORTWO,Vehicle
Skagit,Anacortes,VOLVO C40,Vehicle
Walla Walla,Walla Walla,TESLA MODEL 3,Vehicle
King,Issaquah,TESLA MODEL 3,Vehicle
Snohomish,Everett,HYUNDAI TUCSON,Vehicle
Snohomish,Snohomish,TESLA MODEL S,Vehicle
Grant,Moses Lake,FORD C-MAX,Vehicle
Snohomish,Everett,TESLA MODEL 3,Vehicle
Snohomish,Lynnwood,TESLA MODEL 3,Vehicle
Island,Freeland,NISSAN LEAF,Vehicle
Thurston,Olympia,KIA NIRO,Vehicle
Snohomish,Lynnwood,JEEP WRANGLER,Vehicle
Snohomish,Mountlake Terrace,VOLKSWAGEN E-GOLF,Vehicle
Chelan,Chelan,TESLA MODEL Y,Vehicle
Snohomish,Everett,KIA NIRO,Vehicle
Snohomish,Everett,AUDI Q5 E,Vehicle
Island,Greenbank,VOLVO XC60,Vehicle
Island,Clinton,NISSAN LEAF,Vehicle
Skagit,Anacortes,TESLA MODEL 3,Vehicle
Thurston,Olympia,KIA SOUL,Vehicle
King,Auburn,TESLA MODEL Y,Vehicle
King,Kirkland,NISSAN LEAF,Vehicle
Snohomish,Everett,TESLA MODEL 3,Vehicle
Snohomish,Mill Creek,TESLA MODEL X,Vehicle
Thurston,Tumwater,HONDA CLARITY,Vehicle
Thurston,Olympia,NISSAN LEAF,Vehicle
Clark,Vancouver,HONDA CLARITY,Vehicle
Snohomish,Lynnwood,TESLA CYBERTRUCK,Vehicle
Walla Walla,Walla Walla,TESLA MODEL 3,Vehicle
Snohomish,Lynnwood,TESLA MODEL 3,Vehicle
Snohomish,Everett,CHEVROLET BOLT EV,Vehicle
Whitman,Pullman,TESLA MODEL Y,Vehicle
Thurston,Olympia,TESLA MODEL 3,Vehicle
Skagit,Anacortes,TESLA MODEL S,Vehicle
Grant,Moses Lake,TESLA MODEL 3,Vehicle
Yakima,Yakima,VOLVO XC90,Vehicle
Snohomish,Woodway,MERCEDES-BENZ B-CLASS,Vehicle
King,Seattle,TESLA MODEL 3,Vehicle
Walla Walla,Walla Walla,FORD F-150,Vehicle
Skagit,Bow,NISSAN LEAF,Vehicle
Snohomish,Monroe,TESLA MODEL 3,Vehicle
Snohomish,Bothell,BMW X5,Vehicle
Skagit,La Conner,KIA NIRO,Vehicle
Kitsap,Port Orchard,KIA SPORTAGE,Vehicle
Thurston,Olympia,KIA NIRO,Vehicle
Thurston,Lacey,KIA SOUL,Vehicle
Skagit,Bow,VOLVO XC40,Vehicle
Chelan,Wenatchee,NISSAN LEAF,Vehicle
Bannock,Pocatello,TESLA MODEL Y,Vehicle
Skagit,Anacortes,NISSAN LEAF,Vehicle
Thurston,Lacey,SUBARU SOLTERRA,Vehicle
Yakima,Yakima,NISSAN LEAF,Vehicle
Yakima,Yakima,KIA SPORTAGE,Vehicle
Thurston,Tumwater,TESLA MODEL 3,Vehicle
King,Seattle,NISSAN LEAF,Vehicle
Thurston,Olympia,CHEVROLET VOLT,Vehicle
Kitsap,Bremerton,TESLA MODEL 3,Vehicle
Island,Clinton,CHEVROLET BOLT EV,Vehicle
Kitsap,Bremerton,TOYOTA RAV4 PRIME (PHEV),Vehicle
Yakima,Selah,RIVIAN R1T,Vehicle
Snohomish,Lake Stevens,JEEP WRANGLER,Vehicle
Yakima,Moxee,TESLA MODEL 3,Vehicle
King,Kirkland,BMW X3,Vehicle
Yakima,Selah,TESLA MODEL Y,Vehicle
King,Renton,TESLA MODEL S,Vehicle
King,Seattle,BMW I3,Vehicle
Yakima,Yakima,TESLA MODEL 3,Vehicle
Thurston,Tumwater,CHEVROLET BOLT EV,Vehicle
Snohomish,Bothell,KIA NIRO,Vehicle
Snohomish,Mukilteo,NISSAN LEAF,Vehicle
Kitsap,Silverdale,AUDI Q5 E,Vehicle
Thurston,Olympia,MERCEDES-BENZ B-CLASS,Vehicle
Kitsap,Bremerton,SMART FORTWO,Vehicle
Kitsap,Bremerton,BMW I3,Vehicle
Thurston,Lacey,CHEVROLET VOLT,Vehicle
Snohomish,Arlington,JEEP WRANGLER,Vehicle
Kitsap,Bainbridge Island,VOLVO XC60,Vehicle
Kitsap,Port Orchard,FORD C-MAX,Vehicle
Kitsap,Bainbridge Island,TESLA MODEL 3,Vehicle
Thurston,Olympia,TESLA MODEL S,Vehicle
Thurston,Olympia,NISSAN LEAF,Vehicle
King,Kirkland,NISSAN LEAF,Vehicle
Kitsap,Port Orchard,TESLA MODEL Y,Vehicle
Thurston,Yelm,MAZDA CX-90,Vehicle
Thurston,Olympia,CHEVROLET BOLT EV,Vehicle
Kitsap,Poulsbo,FIAT 500,Vehicle
King,Newcastle,NISSAN LEAF,Vehicle
King,Renton,TESLA MODEL 3,Vehicle
King,Bothell,AUDI E-TRON,Vehicle
Snohomish,Bothell,TESLA MODEL 3,Vehicle
Kitsap,Olalla,CHEVROLET VOLT,Vehicle
Thurston,Tumwater,NISSAN LEAF,Vehicle
Snohomish,Edmonds,TESLA MODEL S,Vehicle
Kitsap,Poulsbo,JEEP WRANGLER,Vehicle
King,Seattle,NISSAN LEAF,Vehicle
Thurston,Tenino,AUDI E-TRON,Vehicle
Kitsap,Seabeck,NISSAN LEAF,Vehicle
Yakima,Yakima,TESLA MODEL 3,Vehicle
King,Bellevue,NISSAN LEAF,Vehicle
Thurston,Yelm,KIA SPORTAGE,Vehicle
Island,Oak Harbor,VOLVO XC90,Vehicle
King,Seattle,NISSAN LEAF,Vehicle
Kitsap,Poulsbo,VOLVO V60,Vehicle
Snohomish,Bothell,JEEP WRANGLER,Vehicle
King,Redmond,TESLA MODEL X,Vehicle
Kitsap,Silverdale,NISSAN LEAF,Vehicle
Snohomish,Bothell,TESLA MODEL S,Vehicle
Island,Oak Harbor,JEEP WRANGLER,Vehicle
King,Seattle,BMW I8,Vehicle
Kitsap,Bremerton,NISSAN LEAF,Vehicle
King,Renton,TESLA MODEL 3,Vehicle
Kitsap,Port Orchard,NISSAN LEAF,Vehicle
Snohomish,Monroe,TESLA MODEL Y,Vehicle
Thurston,Olympia,TOYOTA PRIUS PRIME (PHEV),Vehicle
Snohomish,Lake Stevens,CHEVROLET BOLT EV,Vehicle
Yakima,Yakima,FORD F-150,Vehicle
King,Seattle,TESLA MODEL 3,Vehicle
King,Seattle,TESLA MODEL 3,Vehicle
King,Auburn,TESLA MODEL 3,Vehicle
Kitsap,Poulsbo,RIVIAN R1T,Vehicle
Thurston,Olympia,TESLA MODEL 3,Vehicle
King,Seattle,BMW I3,Vehicle
Snohomish,Everett,TESLA MODEL 3,Vehicle
King,Issaquah,POLESTAR PS2,Vehicle
Kitsap,Bainbridge Island,TOYOTA RAV4 PRIME (PHEV),Vehicle
